Origine;Type tarif;Prix
MARSEILLE ST CHARLES;Tarif normal;13.0
MARSEILLE ST CHARLES;Tarif normal;37.4
MEYRARGUES;Tarif normal;20.2
SIMIANE;Tarif normal;23.0
CASSIS;Tarif normal;16.2
SEPTEMES;Tarif normal;12.7
ROGNAC;Tarif normal;14.5
LA PAULINE;Tarif normal;7.4
CARNOULES;Tarif normal;26.2
NICE VILLE;Tarif normal;20.9
CAGNES SUR MER;Tarif normal;13.8
MARSEILLE ST CHARLES;Tarif normal;26.5
MARSEILLE ST CHARLES;Tarif normal;24.1
AIX EN PROVENCE;Tarif normal;43.2
ARLES;Tarif normal;31.2
CAP D'AIL;Tarif normal;10.2
NICE VILLE;Tarif normal;6.0
NICE VILLE;Tarif normal;10.5
CAP D'AIL;Tarif normal;4.6
CANNES LA BOCCA;Tarif normal;11.2
CANNES;Tarif normal;10.3
ANTIBES;Tarif normal;31.8
RANGUIN;Tarif normal;3.7
SERRES;Tarif normal;16.8
FREJUS;Tarif normal;19.9
ST RAPHAEL VALESCURE;Tarif normal;17.8
MARSEILLE BLANCARDE;Abonnement tout public;132.1
MARSEILLE BLANCARDE;Abonnement tout public;104.9
LA BRILLANNE ORAISON;Abonnement tout public;154.2
GARDANNE;Abonnement tout public;34.8
SIMIANE;Abonnement tout public;58.7
ST RAPHAEL VALESCURE;Tarif normal;11.8
MANDELIEU LA NAPOULE;Tarif normal;8.6
NICE VILLE;Abonnement tout public;24.5
CANNES LA BOCCA;Tarif normal;4.4
NICE RIQUIER;Abonnement tout public;92.0
MARSEILLE ST CHARLES;Tarif normal;39.3
CHATEAU ARNOUX ST AUBAN;Tarif normal;18.4
MONACO MONTE CARLO;Abonnement tout public;46.7
MONACO MONTE CARLO;Abonnement tout public;68.1
MONACO MONTE CARLO;Abonnement tout public;24.5
MIRAMAS;Tarif normal;12.5
CARRY LE ROUET;Tarif normal;4.4
ARLES;Tarif normal;22.0
TOULON;Tarif normal;20.0
LES ARCS DRAGUIGNAN;Tarif normal;20.0
LES ARCS DRAGUIGNAN;Tarif normal;19.9
AVIGNON TGV;Tarif normal;7.2
GAP;Tarif normal;8.4
NICE VILLE;Tarif normal;15.4
VEYNES DEVOLUY;Tarif normal;10.3
CROS DE CAGNES;Tarif normal;9.4
AIX EN PROVENCE;Tarif normal;22.2
AIX EN PROVENCE;Tarif normal;18.3
ST LAURENT DU VAR;Tarif normal;8.4
EMBRUN;Tarif normal;58.1
SEPTEMES;Tarif normal;18.5
BOLLENE LA CROISIERE;Tarif normal;16.2
CARNOLES;Tarif normal;13.4
CARRY LE ROUET;Tarif normal;7.9
SALON;Tarif normal;7.4
ST CYR LES LECQUES LA CADI;Tarif normal;9.8
LE LUC ET LE CANNET;Tarif normal;4.6
HYERES;Tarif normal;35.7
MENTON GARAVAN;Tarif normal;8.2
LA TRINITE VICTOR;Tarif normal;8.2
CANNES;Tarif normal;11.2
ANTIBES;Tarif normal;19.5
CHORGES;Tarif normal;30.4
SERRES;Tarif normal;28.1
AVIGNON CENTRE;Tarif normal;10.2
TARASCON SUR RHONE;Tarif normal;5.5
CAVAILLON;Tarif normal;14.3
GARDANNE;Abonnement tout public;56.7
ST CYR LES LECQUES LA CADI;Abonnement tout public;68.1
LE LUC ET LE CANNET;Abonnement tout public;113.5
NICE VILLE;Abonnement tout public;34.8
CAGNES SUR MER;Abonnement tout public;81.0
CAGNES SUR MER;Abonnement tout public;60.7
MOUANS-SARTOUX;Tarif normal;5.7
NICE RIQUIER;Abonnement tout public;39.3
MARSEILLE ST CHARLES;Tarif normal;28.1
MARSEILLE ST CHARLES;Tarif normal;33.2
AIX EN PROVENCE;Tarif normal;5.7
MARSEILLE ST CHARLES;Tarif normal;11.8
AIX EN PROVENCE;Tarif normal;25.8
ST MARCEL;Tarif normal;12.1
STE MARTHE EN PROVENCE;Tarif normal;6.9
LA COURONNE CARRO;Tarif normal;10.0
ST CYR LES LECQUES LA CADI;Tarif normal;8.4
ST CYR LES LECQUES LA CADI;Tarif normal;30.8
SOLLIES PONT;Tarif normal;17.8
LA PAULINE;Tarif normal;6.4
SOLLIES PONT;Tarif normal;18.0
NICE VILLE;Tarif normal;40.8
NICE RIQUIER;Tarif normal;12.3
NICE RIQUIER;Tarif normal;8.6
BEAULIEU SUR MER;Tarif normal;12.1
EZE;Tarif normal;11.8
BREIL SUR ROYA;Tarif normal;10.3
MONACO MONTE CARLO;Tarif normal;39.3
CANNES LA BOCCA;Tarif normal;10.5
CANNES;Tarif normal;33.0
LE DRAMONT;Tarif normal;14.1
THEOULE SUR MER;Tarif normal;5.7
MANDELIEU LA NAPOULE;Tarif normal;39.1
JUAN LES PINS;Tarif normal;7.9
EMBRUN;Tarif normal;32.7
BRIANCON;Tarif normal;14.8
BOLLENE LA CROISIERE;Tarif normal;44.0
SERRES;Tarif normal;13.1
MARSEILLE ST CHARLES;Abonnement tout public;144.0
MARSEILLE ST CHARLES;Abonnement tout public;130.5
LARAGNE;Tarif normal;13.1
AUBAGNE;Abonnement tout public;39.3
PAS DES LANCIERS;Abonnement tout public;50.7
LA SEYNE SIX FOURS;Abonnement tout public;24.5
LA GARDE;Abonnement tout public;25.9
AVIGNON CENTRE;Tarif normal;6.9
CUERS PIERREFEU;Abonnement tout public;68.1
NICE VILLE;Abonnement tout public;58.7
NICE RIQUIER;Abonnement tout public;50.7
NICE RIQUIER;Abonnement tout public;32.6
NICE RIQUIER;Abonnement tout public;32.6
CAVAILLON;Tarif normal;9.6
ANTIBES;Abonnement tout public;41.5
CAVAILLON;Abonnement tout public;24.5
ST RAPHAEL VALESCURE;Abonnement tout public;225.8
CANNES;Abonnement tout public;24.5
GOLFE JUAN VALLAURIS;Abonnement tout public;93.8
JUAN LES PINS;Abonnement tout public;37.0
ANTIBES;Abonnement tout public;34.8
GRASSE;Abonnement tout public;110.1
AVIGNON CENTRE;Abonnement tout public;50.7
SORGUES CHATEAUNEUF DU PAPE;Abonnement tout public;32.6
MARSEILLE ST CHARLES;Tarif normal;17.0
MARSEILLE BLANCARDE;Tarif normal;5.3
L'ESTAQUE;Tarif normal;10.3
LA PENNE SUR HUVEAUNE;Tarif normal;5.3
AUBAGNE;Tarif normal;4.2
MIRAMAS;Tarif normal;8.9
MIRAMAS;Tarif normal;18.0
PAS DES LANCIERS;Tarif normal;19.0
ISTRES;Tarif normal;5.3
CARRY LE ROUET;Tarif normal;5.9
TOULON;Tarif normal;34.8
LA GARDE;Tarif normal;8.2
CARNOULES;Tarif normal;8.2
LE LUC ET LE CANNET;Tarif normal;16.8
CROS DE CAGNES;Tarif normal;13.8
CAP D'AIL;Tarif normal;7.2
CARNOLES;Tarif normal;19.7
MARSEILLE ST CHARLES;Tarif normal;19.7
AVIGNON TGV;Tarif normal;35.9
MOUANS-SARTOUX;Tarif normal;38.3
FREJUS;Tarif normal;48.2
GARDANNE;Tarif normal;7.2
MANOSQUE GREOUX LES BAINS;Tarif normal;11.9
L'ESTAQUE;Tarif normal;20.4
SEPTEMES;Tarif normal;3.9
CARRY LE ROUET;Tarif normal;6.9
TOULON;Tarif normal;19.7
TOULON;Tarif normal;13.2
LE LUC ET LE CANNET;Tarif normal;10.3
LES ARCS DRAGUIGNAN;Tarif normal;16.7
CROS DE CAGNES;Tarif normal;10.3
EMBRUN;Tarif normal;29.9
NICE RIQUIER;Tarif normal;20.4
SERRES;Tarif normal;14.6
LARAGNE;Tarif normal;21.6
CARNOLES;Tarif normal;19.2
CARNOLES;Tarif normal;11.4
BREIL SUR ROYA;Tarif normal;17.3
CANNES;Tarif normal;3.7
ST RAPHAEL VALESCURE;Tarif normal;20.5
JUAN LES PINS;Tarif normal;11.4
MANDELIEU LA NAPOULE;Tarif normal;6.2
CANNES;Tarif normal;36.7
CANNES;Tarif normal;5.5
EMBRUN;Tarif normal;36.7
BRIANCON;Tarif normal;12.7
BRIANCON;Tarif normal;59.6
GAP;Tarif normal;49.3
MONTDAUPHIN GUILLESTRE;Tarif normal;60.4
CAVAILLON;Tarif normal;6.0
MARSEILLE ST CHARLES;Tarif normal;23.0
MARSEILLE BLANCARDE;Tarif normal;18.0
VINTIMILLE SNCF;Tarif normal;13.8
MARSEILLE ST CHARLES;Tarif normal;34.0
GARDANNE;Tarif normal;8.2
LA BRILLANNE ORAISON;Tarif normal;14.0
MARTIGUES;Tarif normal;12.0
MIRAMAS;Tarif normal;17.8
SAUSSET LES PINS;Tarif normal;8.4
ISTRES;Tarif normal;9.1
LA COURONNE CARRO;Tarif normal;7.9
ARLES;Tarif normal;13.8
SAUSSET LES PINS;Tarif normal;12.1
ARLES;Tarif normal;16.0
ARLES;Tarif normal;12.0
ST MARTIN CRAU;Tarif normal;7.4
LA PAULINE;Tarif normal;9.6
BANDOL;Tarif normal;10.0
LA GARDE;Tarif normal;7.4
LA PAULINE;Tarif normal;14.3
SIMIANE;Tarif normal;10.9
SIMIANE;Tarif normal;19.7
NICE VILLE;Tarif normal;11.6
ST MARCEL;Tarif normal;17.8
AUBAGNE;Tarif normal;24.1
PIGNANS;Tarif normal;14.1
NICE VILLE;Tarif normal;12.0
NICE RIQUIER;Tarif normal;6.2
SALON;Tarif normal;7.2
CUERS PIERREFEU;Tarif normal;12.1
MONACO MONTE CARLO;Tarif normal;13.9
LA CRAU;Tarif normal;5.3
HYERES;Tarif normal;11.6
NICE VILLE;Tarif normal;37.2
NICE RIQUIER;Tarif normal;12.1
VILLENEUVE LOUBET PLAGE;Tarif normal;17.3
CAGNES SUR MER;Tarif normal;11.1
CROS DE CAGNES;Tarif normal;6.4
ST LAURENT DU VAR;Tarif normal;4.6
